date;mom;yoy;base_algo;base_mom
2005-01-01;83.6;99;100;100
2005-02-01;100.6;101.4;100.6;100.6
2005-03-01;109.1;104.2;109.7546;109.7546
2005-04-01;98.2;106.3;107.7790172;107.7790172
2005-05-01;98.1;102.6;105.7312159;105.7312159
2005-06-01;99.1;102;104.7796349;104.7796349
2005-07-01;99.9;102.5;104.6748553;104.6748553
2005-08-01;101;102.3;105.7216038;105.7216038
2005-09-01;100.3;102.6;106.0387687;106.0387687
2005-10-01;101.3;101.9;107.4172727;107.4172727
2005-11-01;105.3;106.2;113.1103881;113.1103881
2005-12-01;105.5;104;119.3314594;119.3314594
2006-01-01;84.9;105.3;105.3;101.3124091
2006-02-01;103.9;107.4;108.0444;105.263593
2006-03-01;104.6;101.5;111.400919;110.1057183
2006-04-01;101;102.05;109.9884871;111.2067755
2006-05-01;100;102.6;108.4802275;111.2067755
2006-06-01;101.2;103;107.923024;112.5412568
2006-07-01;101.3;105.9;110.8506718;114.0042931
2006-08-01;99.8;107.2;113.3335593;113.7762845
2006-09-01;102.9;109.3;115.9003741;117.0757968
2006-10-01;99.3;105.6;113.4326399;116.2562662
2006-11-01;103.9;107.6;121.7067776;120.7902606
2006-12-01;104.1;104.1;124.2240493;125.7426613
2007-01-01;87.3;105.5;111.0915;109.7733433
2007-02-01;98.4;106.1;114.6351084;108.0169698
2007-03-01;100.6;105.4;117.4165686;108.6650716
2007-04-01;92.9;106.8;117.4677042;100.9498515
2007-05-01;96.7;106.7;115.7484027;97.61850644
2007-06-01;96.3;105.1;113.4270982;94.0066217
2007-07-01;98.4;104.6;115.9498027;92.50251576
2007-08-01;97;104.9;118.8869037;89.72744028
2007-09-01;97.2;102.6;118.9137839;87.21507196
2007-10-01;99.7;104;117.9699455;86.95342674
2007-11-01;97.4;103.6;126.0882216;84.69263765
2007-12-01;102.2;106.5;132.2986125;86.55587567
2008-01-01;81.8;101.6;112.868964;70.8027063
2008-02-01;100.7;101.4;116.2399999;71.29832525
2008-03-01;102;97.7;114.7159875;72.72429175
2008-04-01;96.6;101.5;119.2297197;70.25166583
2008-05-01;95.9;100.3;116.0956479;67.37134753
2008-06-01;102.6;106.1;120.3461512;69.12300257
2008-07-01;100;107.7;124.8779375;69.12300257
2008-08-01;99.2;109.1;129.705612;68.57001855
2008-09-01;102.7;109.8;130.5673347;70.42140905
2008-10-01;101.7;106.6;125.7559619;71.618573
2008-11-01;97.1;102.6;129.3665154;69.54163438
2008-12-01;104.1;104;137.590557;72.39284139
2009-01-01;81.7;100;112.868964;59.14495142
2009-02-01;100.3;95.6;111.1254399;59.32238627
2009-03-01;99.9;91.3;104.7356966;59.26306389
2009-04-01;99;94.2;112.314396;58.67043325
2009-05-01;97.6;93.2;108.2011439;57.26234285
2009-06-01;100.1;91.2;109.7556899;57.31960519
2009-07-01;99.8;92.2;115.1374583;57.20496598
2009-08-01;97.5;93.4;121.1450416;55.77484183
2009-09-01;100.5;90.1;117.6411686;56.05371604
2009-10-01;102.4;89.4;112.42583;57.39900523
2009-11-01;100.8;93.2;120.5695923;57.85819727
2009-12-01;104.7;94.4;129.8854858;60.57753254
2010-01-01;83.5;96.8;109.2571572;50.58223967
2010-02-01;101.2;96.7;107.4583004;51.18922655
2010-03-01;105.6;105.2;110.1819529;54.05582323
2010-04-01;101.7;108.9;122.3103772;54.97477223
2010-05-01;95.1;102.3;110.6897702;52.28100839
2010-06-01;96.4;100.1;109.8654456;50.39889209
2010-07-01;97.4;98.6;113.5255339;49.08852089
2010-08-01;97.1;101.5;122.9622172;47.66495379
2010-09-01;99.3;99.4;116.9353215;47.33129911
2010-10-01;104.4;100.8;113.3252366;49.41387627
2010-11-01;99.8;100.8;121.534149;49.31504852
2010-12-01;102.3;98.3;127.6774325;50.44929464
2011-01-01;89.9;109.8;119.9643586;45.35391588
